,Country,Rank,US$
0,Luxembourg,1,"103,199"
1,Switzerland,2,"79,242"
2,Norway,3,"70,392"
3,Macau,—,"67,079"
4,Ireland,4,"62,562"
5,Qatar,5,"60,787"
6,Iceland,6,"59,629"
7,United States,7,"57,436"
8,Denmark,8,"53,744"
9,Singapore,9,"52,961"
10,Australia,10,"51,850"
11,Sweden,11,"51,165"
12,San Marino,12,"46,447"
13,Netherlands,13,"45,283"
14,Austria,14,"44,498"
15,Hong Kong,—,"43,528"
16,Finland,15,"43,169"
17,Canada,16,"42,210"
18,Germany,17,"41,902"
19,Belgium,18,"41,283"
20,United Kingdom,19,"40,096"
21,Japan,20,"38,917"
22,New Zealand,21,"38,345"
23,France,22,"38,128"
24,United Arab Emirates,23,"37,678"
25,Israel,24,"37,262"
26,Italy,25,"30,507"
27,Puerto Rico,—,"29,697"
28,South Korea,26,"27,539"
29,Spain,27,"26,609"
30,Brunei,28,"26,424"
31,Kuwait,29,"26,005"
32,Malta,30,"25,214"
33,"Bahamas, The",31,"24,272"
34,Bahrain,32,"24,183"
35,Cyprus,33,"23,352"
36,Taiwan,—,"22,453"
37,Slovenia,34,"21,320"
38,Saudi Arabia,35,"20,150"
39,Portugal,36,"19,832"
40,Czech Republic,37,"18,286"
41,Greece,38,"17,901"
42,Estonia,39,"17,633"
43,Slovakia,40,"16,499"
44,Barbados,41,"16,363"
45,Palau,42,"16,222"
46,Saint Kitts and Nevis,43,"16,058"
47,Oman,44,"15,964"
48,Uruguay,45,"15,679"
49,Antigua and Barbuda,46,"15,488"
50,Trinidad and Tobago,47,"15,342"
51,Seychelles,48,"14,938"
52,Lithuania,49,"14,890"
53,Equatorial Guinea,50,"14,174"
54,Latvia,51,"14,060"
55,Panama,52,"13,654"
56,Chile,53,"13,576"
57,Hungary,54,"12,778"
58,Argentina,55,"12,503"
59,Poland,56,"12,316"
60,Croatia,57,"12,095"
61,Costa Rica,58,"11,835"
62,Lebanon,59,"11,309"
63,Turkey,60,"10,743"
64,World,—,"10,038"
65,Grenada,61,"9,585"
66,Maldives,62,"9,554"
67,Romania,63,"9,465"
68,Mauritius,64,"9,424"
69,Malaysia,65,"9,360"
70,Venezuela,66,"9,258"
71,Russia,67,"8,929"
72,Brazil,68,"8,727"
73,Mexico,69,"8,555"
74,China,70,"8,113"
75,Saint Lucia,71,"7,940"
76,Nauru,72,"7,824"
77,Gabon,73,"7,587"
78,Kazakhstan,74,"7,453"
79,Bulgaria,75,"7,369"
80,Dominica,76,"7,356"
81,Dominican Republic,77,"7,159"
82,Saint Vincent and the Grenadines,78,"7,038"
83,Botswana,79,"6,972"
84,Montenegro,80,"6,629"
85,Turkmenistan,81,"6,622"
86,Suriname,82,"6,333"
87,Peru,83,"6,199"
88,Ecuador,84,"5,930"
89,Thailand,85,"5,899"
90,Colombia,86,"5,792"
91,Jordan,87,"5,554"
92,Serbia,88,"5,376"
93,"Macedonia, Republic of",89,"5,263"
94,South Africa,90,"5,261"
95,Libya,91,"5,193"
96,Fiji,92,"5,182"
97,Belarus,93,"5,143"
98,Jamaica,94,"4,931"
99,Iran,95,"4,683"
100,Belize,96,"4,636"
101,Iraq,97,"4,631"
102,Namibia,98,"4,630"
103,Guyana,99,"4,475"
104,El Salvador,100,"4,343"
105,Bosnia and Herzegovina,101,"4,308"
106,Albania,102,"4,203"
107,Guatemala,103,"4,089"
108,Samoa,104,"4,035"
109,Paraguay,105,"4,003"
110,Azerbaijan,106,"3,956"
111,Algeria,107,"3,944"
112,Sri Lanka,108,"3,887"
113,Tonga,109,"3,856"
114,Georgia,110,"3,842"
115,Tunisia,111,"3,730"
116,Egypt,112,"3,685"
117,Mongolia,113,"3,660"
118,Indonesia,114,"3,604"
119,Armenia,115,"3,511"
120,Angola,116,"3,502"
121,Marshall Islands,117,"3,338"
122,Swaziland,118,"3,330"
123,Bolivia,119,"3,197"
124,Tuvalu,120,"3,157"
125,"Micronesia, Federated States of",121,"3,150"
126,Cape Verde,122,"3,078"
127,Morocco,123,"3,063"
128,Philippines,124,"2,924"
129,Vanuatu,125,"2,815"
130,Bhutan,126,"2,674"
131,Honduras,127,"2,609"
132,Papua New Guinea,128,"2,528"
133,Sudan,129,"2,384"
134,Nigeria,130,"2,211"
135,Ukraine,131,"2,194"
136,Vietnam,132,"2,173"
137,Uzbekistan,133,"2,122"
138,Nicaragua,134,"2,120"
139,East Timor,135,"2,102"
140,Solomon Islands,136,"1,971"
141,Laos,137,"1,925"
142,Djibouti,138,"1,908"
143,Moldova,139,"1,901"
144,"Congo, Republic of the",140,"1,784"
145,India,141,"1,723"
146,Sao Tome and Principe,142,"1,687"
147,Ghana,143,"1,569"
148,Kenya,144,"1,516"
149,Pakistan,145,"1,468"
150,Côte d'Ivoire,146,"1,459"
151,Kiribati,147,"1,437"
152,Bangladesh,148,"1,411"
153,Zambia,149,"1,275"
154,Myanmar,150,"1,269"
155,Mauritania,151,"1,243"
156,Cameroon,152,"1,238"
157,Cambodia,153,"1,230"
158,Lesotho,154,"1,170"
159,Kyrgyzstan,155,"1,073"
160,Zimbabwe,156,977
161,Tanzania,157,970
162,Senegal,158,960
163,Yemen,159,938
164,Chad,160,852
165,Mali,161,830
166,Eritrea,162,823
167,Tajikistan,163,800
168,Ethiopia,164,795
169,Benin,165,771
170,Haiti,166,761
171,Comoros,167,753
172,Nepal,168,733
173,Rwanda,169,729
174,Guinea-Bissau,170,694
175,Burkina Faso,171,646
176,Uganda,172,638
177,Sierra Leone,173,618
178,Togo,174,590
179,Afghanistan,175,565
180,Guinea,176,515
181,"Congo, Democratic Republic of the",177,495
182,Liberia,178,480
183,"Gambia, The",179,469
184,Niger,180,411
185,Mozambique,181,392
186,Madagascar,182,391
187,Central African Republic,183,364
188,Burundi,184,325
189,Malawi,185,295
190,South Sudan,186,233
